,0,1,2,3,4,5,6
0,,coef,std err,t,P>|t|,[0.025,0.975]
1,const,   -0.0534,    0.000, -227.919, 0.000,   -0.054,   -0.053
2,季风强度,    0.0056, 9.55e-06,  587.709, 0.000,    0.006,    0.006
3,地形排水,    0.0056, 9.38e-06,  601.465, 0.000,    0.006,    0.006
4,河流管理,    0.0057, 9.48e-06,  597.629, 0.000,    0.006,    0.006
5,森林砍伐,    0.0057, 9.57e-06,  593.667, 0.000,    0.006,    0.006
6,城市化,    0.0057, 9.43e-06,  599.498, 0.000,    0.006,    0.006
7,气候变化,    0.0057, 9.54e-06,  593.585, 0.000,    0.006,    0.006
8,大坝质量,    0.0057, 9.43e-06,  599.400, 0.000,    0.006,    0.006
9,淤积,    0.0056, 9.51e-06,  593.297, 0.000,    0.006,    0.006
10,农业实践,    0.0056,  9.5e-06,  593.369, 0.000,    0.006,    0.006
11,侵蚀,    0.0056, 9.43e-06,  598.734, 0.000,    0.006,    0.006
12,无效防灾,    0.0056, 9.45e-06,  596.449, 0.000,    0.006,    0.006
13,排水系统,    0.0056, 9.48e-06,  594.350, 0.000,    0.006,    0.006
14,海岸脆弱性,    0.0057, 9.41e-06,  603.088, 0.000,    0.006,    0.006
15,滑坡,    0.0056, 9.45e-06,  596.738, 0.000,    0.006,    0.006
16,流域,    0.0056, 9.44e-06,  598.644, 0.000,    0.006,    0.006
17,基础设施恶化,    0.0056, 9.51e-06,  590.926, 0.000,    0.006,    0.006
18,人口得分,    0.0057, 9.47e-06,  599.639, 0.000,    0.006,    0.006
19,湿地损失,    0.0056,  9.5e-06,  593.667, 0.000,    0.006,    0.006
20,规划不足,    0.0056, 9.44e-06,  594.258, 0.000,    0.006,    0.006
21,政策因素,    0.0056,  9.4e-06,  600.974, 0.000,    0.006,    0.006
