数据库：年度数据
时间：2023
指标,2022年,2021年,2019年,2018年,2017年,2016年,2015年,2014年,2013年
人口数(人口抽样调查)(人),1443996,1494054,1091876,1144648,1145246,1158019,21312241,1124402,1118433
0-4岁人口数(人口抽样调查)(人),62248,72978,62722,67393,68313,68447,1243566,63990,63490
5-9岁人口数(人口抽样调查)(人),90793,96094,60701,63322,63314,63831,1174724,63132,62446
10-14岁人口数(人口抽样调查)(人),91846,92304,59844,62248,60727,60420,1103520,58287,57562
15-19岁人口数(人口抽样调查)(人),79560,79414,55822,58258,59251,61562,1165548,64719,68715
20-24岁人口数(人口抽样调查)(人),73629,77256,61519,68050,73185,79102,1554837,90785,97406
25-29岁人口数(人口抽样调查)(人),85040,91729,81741,92977,100701,106663,1992252,98845,93136
30-34岁人口数(人口抽样调查)(人),116755,128056,93971,93201,88959,87573,1573049,82546,82677
35-39岁人口数(人口抽样调查)(人),109832,109171,77703,81886,82553,80485,1507593,81792,84334
40-44岁人口数(人口抽样调查)(人),98379,98023,77044,83574,87713,94730,1824946,101959,103771
45-49岁人口数(人口抽样调查)(人),103955,114545,95621,102384,105476,104623,1921117,99249,98129
50-54岁人口数(人口抽样调查)(人),127635,129319,93125,96850,96760,97608,1615839,77909,69533
55-59岁人口数(人口抽样调查)(人),117482,121989,74068,69844,59823,59638,1193350,66409,70719
60-64岁人口数(人口抽样调查)(人),71964,70755,60712,68014,68044,67696,1211435,61608,58256
65-69岁人口数(人口抽样调查)(人),79964,81345,55086,54799,51552,48454,850443,41709,39216
70-74岁人口数(人口抽样调查)(人),58782,56208,35665,34810,32590,31677,563097,29133,27905
75-79岁人口数(人口抽样调查)(人),35928,34886,22610,22799,22553,22449,411240,21330,21253
80-84岁人口数(人口抽样调查)(人),22434,22543,14322,14845,14708,14331,253260,13289,12769
85-89岁人口数(人口抽样调查)(人),12542,12317,7036,6902,6606,6416,111758,5604,5256
90-94岁人口数(人口抽样调查)(人),4297,4249,2113,2031,1964,1902,33773,1757,1558
95岁以上人口数(人口抽样调查)(人),929,871,450,458,455,413,6894,347,304
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
