数据库：年度数据
时间：最近20年
指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
年末总人口(万人),140967,141175,141260,141212,141008,140541,140011,139232,138326,137646,136726,135922,134916,134091,133450,132802,132129,131448,130756,129988
0-14岁人口(万人),22978,23908,24678,25277,23689,23751,23522,23252,22824,22712,22423,22427,22261,22259,24659,25166,25660,25961,26504,27947
15-64岁人口(万人),96280,96289,96526,96871,99552,100065,100528,100943,100978,101032,101041,100718,100378,99938,97484,96680,95833,95068,94197,92184
65岁及以上人口(万人),21709,20978,20056,19064,17767,16724,15961,15037,14524,13902,13262,12777,12277,11894,11307,10956,10636,10419,10055,9857
总抚养比(%),46.5,46.6,46.3,45.9,41.5,40.4,39.3,37.9,37.0,36.2,35.3,34.9,34.4,34.2,36.9,37.4,37.9,38.3,38.8,41.0
少儿抚养比(%),24.0,24.8,25.6,26.2,23.8,23.7,23.4,22.9,22.6,22.5,22.2,22.2,22.1,22.3,25.3,26.0,26.8,27.3,28.1,30.3
老年抚养比(%),22.5,21.8,20.8,19.7,17.8,16.8,15.9,15.0,14.3,13.7,13.1,12.7,12.3,11.9,11.6,11.3,11.1,11.0,10.7,10.7
注：1.1981年及以前人口数据为户籍统计数；1982、1990、2000、2010、2020年数据为当年人口普查数据推算数；其余年份数据为年度人口抽样调查推算数据；2011—2019年数据根据2020年人口普查数据修订。
　　　2.总人口和按性别分人口中包括现役军人，按城乡分人口中现役军人计入城镇人口。
数据来源：国家统计局
